Questions,Manual Label,NSQ,LDA,LSA,Cognitive,Knowledge
"You do not have to check the inequality for each subset S of V if you can point out a subset for which the inequality does not hold. Otherwise, fill in a table for all the subsets S of the indicated set V with columns for S, R(S), and |R(S)| |S|. b. Think time efficiency. ",16,0.222705448,0.270869777,0.504098,4,2
Reduce the problem to finding a maximum matching in a bipartite graph.,8,0.999200983,0.473665591,0.867832,2,1
Transform a given bipartite graph into a network by making vertices of the former be intermediate vertices of the latter.,7,0.935368094,0.377520439,0.778528,1,1
"Since this greedy algorithm is arguably simpler than the augmenting-path algorithm given in the section, should we expect a positive or negative answer? Of course, this point cannot be substituted for a more specific argument or a counterexample. ",10,0.503879589,0.130784569,0.633563,4,1
Prove first that 2h l by induction on h. b. Prove first that 3h l by induction on h.,14,0.283445694,0.427728385,0.507336,2,2
"How many outcomes does the problem have? b. Of course, there are many ways to solve this simple problem. c. Thinking about a, b, and c as points on the real line should help. ",9,0.795397531,0.283105522,0.539652,3,1
"This is a straightforward question. You may assume that the three elements to be sorted are distinct. (If you need help, see decision trees for the threeelement selection sort and three-element insertion sort in the section.) ",2,0.262013334,0.237647971,0.715423,2,0
Compute a nontrivial lower bound for sorting a four-element array and then identify a sorting algorithm whose number of comparisons in the worst case matches the lower bound.,10,0.402778371,0.311147576,0.576458,4,1
This is not an easy task. None of the standard sorting algorithms can do this. Try to design a special algorithm that squeezes as much information as possible from each of its comparisons.,23,0.198456522,0.267345413,0.542818,5,3
This is a very straightforward question. Use the obvious observation that sequential search in a sorted list can be stopped as soon as an element larger than the search key is encountered.,1,0.166261586,0.431805914,0.854179,1,0
Start by transforming the logarithms to the same base. b. The easiest way is to prove that lim log2(n + 1) >,16,0.387836964,0.427450999,0.84509,4,2
"As the given definition of the number of significant digits requires, compute the relative errors of the approximations. One of the answers doesn't agree with our intuitive idea of this notion. ",10,0.817475539,0.273990354,0.73534,4,1
Use the definitions of the absolute and relative errors and the properties of the absolute value.,0,0.974221106,0.317660767,0.704315,0,0
Apply the formula for the area of a trapezoid to each of the n approximating trapezoid strips and sum them up.,0,0.959834609,0.437358703,0.478816,0,0
Find an upper bound for the second derivative of esin x and use formula (,10,0.240457093,0.522556457,0.496586,4,1
"Consider all possible values for the coefficients a, b, and c. Keep in mind that solving an equation means finding all its roots or proving that no roots exist. ",14,0.813225546,0.203943134,0.86487,2,2
"Prove that every element xn of the sequence is (i) positive, (ii) greater than D (by computing xn+1 - D), and (iii) decreasing (by computing xn+1 - xn). Then take the limit of both sides of equality (",16,0.306926599,0.290688882,0.638832,4,2
What operations does a best-first branch-and-bound algorithm perform on the live nodes of its state-space tree?,7,0.651029892,0.441661145,0.552703,1,1
"Use the smallest numbers selected from the columns of the cost matrix to compute the lower bounds. With this bounding function, it's more logical to consider four ways to assign job 1 for the nodes on the first level of the tree. ",8,0.999261978,0.370026174,0.638687,2,1
Your answer should be an n _ n matrix with a simple structure making the algorithm work the fastest. b. Sketch the structure of the state-space tree for your answer to part (a).,11,0.175122942,0.252544499,0.487232,5,1
Start by marking the first column of the matrix and finding the smallest element in the first row and an unmarked column. b. You will have to find an optimal solution by exhaustive search or by a branch-and-bound algorithm or by some other method.,15,0.964586575,0.243693889,0.477526,3,2
"The simplest approach is to mark matrix columns that correspond to visited cities. Alternatively, you can maintain a linked list of unvisited cities. b. Following the standard plan for analyzing algorithm efficiency should pose no difficulty (and yield the same result for either of the two options mentioned in the hint to part (a)). ",14,0.552116846,0.12523332,0.406027,2,2
Extend the triangle inequality to the case of k 1 intermediate vertices and prove its validity by mathematical induction.,9,0.102720288,0.226325028,0.539282,3,1
"First, determine the time efficiency of each of the three steps of the algorithm. ",9,0.241088662,0.53230472,0.397366,3,1
"You will have to prove two facts: i. f (s) 2f (sa) for any instance of the knapsack problem, where f (sa) is the value of the approximate solution obtained by the enhanced greedy algorithm and f (s) is the optimal value of the exact solution to the same instance. ii. The smallest constant for which such an assertion is true is ",9,0.579692498,0.386556871,0.609134,3,1
Do the walk in the opposite direction.,14,0.23923966,0.55789209,0.837797,2,2
"Use the property underlying the bisection method. b. Use the definition of division of polynomial p(x) by x - x0, i.e., the equality p(x) = q(x)(x - x0) + r, where x0 is a root of p(x), q(x) and r are the quotient and remainder of this division, respectively. c. Differentiate both sides of the equality given in part (b) and substitute x0 in the result. ",14,0.395354704,0.347059733,0.550628,2,2
"Use the fact that |xn - x| is the distance between xn, the middle of interval [an, bn], and root x. ",2,0.980038556,0.585777094,0.727326,2,0
Sketch the graph to determine a general location of the root and choose an initial interval bracketing it. Use an appropriate inequality given in Section,14,0.27110758,0.321168059,0.66913,2,2
"Write an equation of the line through the points (an, f (an)) and (bn, f (bn)) and find its x-intercept. ",8,0.175386317,0.616254441,0.537832,2,1
"Write an equation of the tangent line to the graph of the function at (xn, f (xn)) and find its x-intercept. ",8,0.445891927,0.318966107,0.478003,2,1
