Questions,Manual Label,Log Reg,Gaussian,Linear,RBF,Polynomial
Consider all the possibilities of partitioning the nodes between the left and right subtrees. b. Compute the values in question using the two formulas. c. Use the formula for the nth Catalan number and Stirling's formula for n!. ,Conceptual,Procedural,Procedural,Factual,Factual,Factual
Change the bounds of the innermost loop of algorithm OptimalBST by exploiting the monotonicity of the root table mentioned at the end of the section.,Procedural,Factual,Procedural,Factual,Factual,Factual
"Considering the case of two jobs might help. Of course, after forming a hypothesis, you will have to prove the algorithm's optimality for an arbitrary input or find a specific counterexample showing that it is not the case. ",Conceptual,Factual,Factual,Factual,Factual,Factual
Simply apply the greedy approach to the situation at hand. You may assume that t1 t2 . . . tn.,Conceptual,Factual,Factual,Factual,Factual,Factual
"Trace the algorithm for the graph given. An example can be found in the text. b. After the next fringe vertex is added to the tree, add all the unseen vertices adjacent to it to the priority queue of fringe vertices. ",Conceptual,Procedural,Factual,Factual,Factual,Factual
Applying Prim's algorithm to a weighted graph that is not connected should help in answering this question.,Conceptual,Factual,Factual,Factual,Factual,Factual
Check whether the proof of the algorithm's correctness is valid for negative edge weights.,Factual,Procedural,Factual,Factual,Factual,Factual
The answer is no. Give a counterexample.,Conceptual,Factual,Factual,Factual,Factual,Factual
"Since Prim's algorithm needs weights on a graph's edges, some weights have to be assigned. As to the second question, think of other algorithms that can solve this problem. ",Conceptual,Factual,Factual,Factual,Factual,Factual
"After combining the two nodes with the lowest probabilities, resolve the tie arising on the next iteration in two different ways. For each of the two Huffman codes obtained, compute the mean and variance of the codeword length. ",Conceptual,Procedural,Factual,Factual,Factual,Factual
The maximal length of a codeword relates to the height of Huffman's coding tree in an obvious fashion. Try to find a set of n specific frequencies for an alphabet of size n for which the tree has the shape yielding the longest codeword possible.,Procedural,Procedural,Factual,Factual,Factual,Factual
"What is the most appropriate data structure for an algorithm whose principal operation is finding the two smallest elements in a given set and replacing them by their sum? b. Identify the principal operations of the algorithm, the number of times they are executed, and their efficiencies for the data structure used. ",Conceptual,Factual,Factual,Factual,Factual,Factual
"Maintain two queues: one for given frequencies, the other for weights of new trees. ",Conceptual,Factual,Factual,Factual,Factual,Factual
Generate the codewords right to left.,Conceptual,Factual,Procedural,Factual,Factual,Factual
See an application of this algorithm to another bipartite graph in the section.,Conceptual,Factual,Factual,Factual,Factual,Factual
The definition of a matching and its cardinality should lead you to the answers to these questions with no difficulty.,Procedural,Procedural,Factual,Factual,Factual,Factual
"You do not have to check the inequality for each subset S of V if you can point out a subset for which the inequality does not hold. Otherwise, fill in a table for all the subsets S of the indicated set V with columns for S, R(S), and |R(S)| |S|. b. Think time efficiency. ",Procedural,Factual,Procedural,Factual,Factual,Factual
Reduce the problem to finding a maximum matching in a bipartite graph.,Conceptual,Procedural,Factual,Factual,Factual,Factual
Transform a given bipartite graph into a network by making vertices of the former be intermediate vertices of the latter.,Procedural,Procedural,Procedural,Factual,Factual,Factual
"Since this greedy algorithm is arguably simpler than the augmenting-path algorithm given in the section, should we expect a positive or negative answer? Of course, this point cannot be substituted for a more specific argument or a counterexample. ",Conceptual,Factual,Factual,Factual,Factual,Factual
Prove first that 2h l by induction on h. b. Prove first that 3h l by induction on h.,Conceptual,Procedural,Procedural,Factual,Factual,Factual
"How many outcomes does the problem have? b. Of course, there are many ways to solve this simple problem. c. Thinking about a, b, and c as points on the real line should help. ",Procedural,Factual,Factual,Factual,Factual,Factual
"This is a straightforward question. You may assume that the three elements to be sorted are distinct. (If you need help, see decision trees for the threeelement selection sort and three-element insertion sort in the section.) ",Procedural,Procedural,Factual,Factual,Factual,Factual
Compute a nontrivial lower bound for sorting a four-element array and then identify a sorting algorithm whose number of comparisons in the worst case matches the lower bound.,Procedural,Factual,Factual,Factual,Factual,Factual
This is not an easy task. None of the standard sorting algorithms can do this. Try to design a special algorithm that squeezes as much information as possible from each of its comparisons.,Procedural,Procedural,Factual,Factual,Factual,Factual
This is a very straightforward question. Use the obvious observation that sequential search in a sorted list can be stopped as soon as an element larger than the search key is encountered.,Procedural,Factual,Factual,Factual,Factual,Factual
Start by transforming the logarithms to the same base. b. The easiest way is to prove that lim log2(n + 1) >,Procedural,Factual,Factual,Factual,Factual,Factual
"As the given definition of the number of significant digits requires, compute the relative errors of the approximations. One of the answers doesn't agree with our intuitive idea of this notion. ",Procedural,Factual,Procedural,Factual,Factual,Factual
Use the definitions of the absolute and relative errors and the properties of the absolute value.,Procedural,Factual,Factual,Factual,Factual,Factual
Apply the formula for the area of a trapezoid to each of the n approximating trapezoid strips and sum them up.,Conceptual,Factual,Factual,Factual,Factual,Factual
Find an upper bound for the second derivative of esin x and use formula (,Procedural,Procedural,Factual,Factual,Factual,Factual
"Consider all possible values for the coefficients a, b, and c. Keep in mind that solving an equation means finding all its roots or proving that no roots exist. ",Procedural,Factual,Factual,Factual,Factual,Factual
"Prove that every element xn of the sequence is (i) positive, (ii) greater than D (by computing xn+1 - D), and (iii) decreasing (by computing xn+1 - xn). Then take the limit of both sides of equality (",Conceptual,Factual,Procedural,Factual,Factual,Factual
What operations does a best-first branch-and-bound algorithm perform on the live nodes of its state-space tree?,Procedural,Factual,Factual,Factual,Factual,Factual
"Use the smallest numbers selected from the columns of the cost matrix to compute the lower bounds. With this bounding function, it's more logical to consider four ways to assign job 1 for the nodes on the first level of the tree. ",Conceptual,Factual,Factual,Factual,Factual,Factual
Your answer should be an n _ n matrix with a simple structure making the algorithm work the fastest. b. Sketch the structure of the state-space tree for your answer to part (a).,Conceptual,Procedural,Factual,Factual,Factual,Factual
Start by marking the first column of the matrix and finding the smallest element in the first row and an unmarked column. b. You will have to find an optimal solution by exhaustive search or by a branch-and-bound algorithm or by some other method.,Procedural,Factual,Factual,Factual,Factual,Factual
"The simplest approach is to mark matrix columns that correspond to visited cities. Alternatively, you can maintain a linked list of unvisited cities. b. Following the standard plan for analyzing algorithm efficiency should pose no difficulty (and yield the same result for either of the two options mentioned in the hint to part (a)). ",Procedural,Factual,Factual,Factual,Factual,Factual
Extend the triangle inequality to the case of k 1 intermediate vertices and prove its validity by mathematical induction.,Factual,Procedural,Factual,Factual,Factual,Factual
"First, determine the time efficiency of each of the three steps of the algorithm. ",Procedural,Factual,Factual,Factual,Factual,Factual
"You will have to prove two facts: i. f (s) 2f (sa) for any instance of the knapsack problem, where f (sa) is the value of the approximate solution obtained by the enhanced greedy algorithm and f (s) is the optimal value of the exact solution to the same instance. ii. The smallest constant for which such an assertion is true is ",Procedural,Factual,Factual,Factual,Factual,Factual
Do the walk in the opposite direction.,Factual,Factual,Factual,Factual,Factual,Factual
"Use the property underlying the bisection method. b. Use the definition of division of polynomial p(x) by x - x0, i.e., the equality p(x) = q(x)(x - x0) + r, where x0 is a root of p(x), q(x) and r are the quotient and remainder of this division, respectively. c. Differentiate both sides of the equality given in part (b) and substitute x0 in the result. ",Conceptual,Factual,Procedural,Factual,Factual,Factual
"Use the fact that |xn - x| is the distance between xn, the middle of interval [an, bn], and root x. ",Procedural,Procedural,Factual,Factual,Factual,Factual
Sketch the graph to determine a general location of the root and choose an initial interval bracketing it. Use an appropriate inequality given in Section,Procedural,Factual,Factual,Factual,Factual,Factual
"Write an equation of the line through the points (an, f (an)) and (bn, f (bn)) and find its x-intercept. ",Procedural,Procedural,Factual,Factual,Factual,Factual
"Write an equation of the tangent line to the graph of the function at (xn, f (xn)) and find its x-intercept. ",Conceptual,Procedural,Factual,Factual,Factual,Factual
